,m0_250,m0_500,m0_750,m0_1000,m0_1250,m0_1500,m0_1750,m0_2000
0.0,1000,1000,1000,1000,1000,1000,1000,1000
0.01,1000,1000,999,1000,1000,1000,1000,1000
0.02,999,1000,999,1000,1000,1000,1000,1000
0.03,999,1000,999,999,1000,1000,1000,1000
0.04,999,1000,999,999,1000,1000,1000,1000
0.05,997,999,998,998,1000,1000,1000,1000
0.06,997,997,998,998,999,1000,1000,1000
0.07,992,993,996,997,997,999,1000,1000
0.08,990,991,994,996,996,997,999,1000
0.09,986,990,993,994,996,997,999,999
0.1,984,990,991,993,994,994,998,996
0.11,982,988,990,993,994,994,998,996
0.12,982,985,989,993,990,993,998,993
0.13,982,983,986,991,988,993,998,991
0.14,981,981,982,989,988,992,997,990
0.15,980,981,980,990,985,992,993,990
0.16,978,979,978,990,983,991,990,988
0.17,977,977,975,988,984,991,987,988
0.18,973,976,974,988,982,990,985,986
0.19,971,976,971,986,981,990,985,986
0.2,971,974,969,985,980,987,984,986
0.21,963,972,965,985,980,987,984,983
0.22,961,970,962,982,979,985,980,982
0.23,959,970,959,982,979,984,979,981
0.24,957,967,958,979,978,983,976,980
0.25,955,966,956,976,978,982,972,980
0.26,955,966,951,973,978,982,968,979
0.27,954,962,944,971,978,982,968,977
0.28,952,962,942,969,976,982,965,976
0.29,947,956,941,968,974,979,965,971
0.3,942,954,941,960,974,976,964,968
0.31,940,948,940,957,972,973,964,965
0.32,936,943,939,952,972,971,960,962
0.33,932,939,937,948,968,970,956,960
0.34,931,938,928,944,965,968,956,958
0.35,929,935,922,944,965,967,952,956
0.36,928,932,921,943,964,965,948,953
0.37,928,927,917,942,964,964,945,951
0.38,925,925,913,937,959,963,945,948
0.39,924,923,910,935,959,959,944,947
0.4,922,920,909,934,955,956,941,947
0.41,921,920,907,934,952,956,940,944
0.42,915,917,905,933,950,953,939,941
0.43,913,917,900,931,946,954,939,935
0.44,904,911,894,930,943,953,937,932
0.45,902,911,892,930,942,951,936,928
0.46,896,906,888,928,936,951,933,927
0.47,892,902,887,928,935,951,930,923
0.48,891,901,885,921,932,949,928,919
0.49,889,896,880,920,932,946,920,919
0.5,882,891,876,920,930,945,918,914
0.51,880,888,875,918,931,940,915,909
0.52,872,883,876,917,928,937,913,908
0.53,872,880,874,916,923,936,913,904
0.54,871,880,870,913,920,930,908,897
0.55,867,873,869,913,920,924,906,897
0.56,864,868,869,909,916,923,902,892
0.57,859,864,865,904,914,921,899,890
0.58,851,860,861,898,912,919,893,890
0.59,851,853,859,897,908,915,889,884
0.6,846,852,855,895,896,914,885,877
0.61,844,849,852,890,893,911,880,875
0.62,843,847,845,883,890,905,877,873
0.63,837,844,840,880,889,902,871,867
0.64,834,844,837,881,884,901,867,863
0.65,830,840,827,877,882,896,863,859
0.66,825,837,828,872,879,893,859,855
0.67,821,833,824,869,872,885,854,850
0.68,819,835,822,865,868,884,852,846
0.69,814,832,815,862,860,883,844,844
0.7,809,828,810,861,858,877,840,842
0.71,806,820,807,856,852,873,836,839
0.72,803,818,802,852,844,870,828,836
0.73,798,816,799,850,841,865,823,833
0.74,796,812,796,839,834,860,820,829
0.75,790,804,791,834,831,855,813,824
0.76,787,799,787,831,825,855,812,823
0.77,780,799,783,827,820,853,806,819
0.78,774,794,772,816,816,849,804,811
0.79,772,790,763,813,808,845,802,809
0.8,762,787,755,807,806,843,797,804
0.81,753,778,749,803,799,842,793,797
0.82,747,773,745,795,793,837,792,790
0.83,744,769,741,795,788,830,787,783
0.84,735,762,737,784,780,822,781,779
0.85,727,756,729,773,775,816,777,771
0.86,718,753,722,766,769,808,772,766
0.87,708,750,712,756,764,803,765,759
0.88,705,746,705,749,758,794,761,754
0.89,702,740,699,738,753,786,757,749
0.9,694,736,696,728,746,782,755,743
0.91,685,734,686,724,744,777,751,735
0.92,679,729,678,716,739,774,748,731
0.93,675,728,669,714,736,761,747,725
0.94,671,723,660,709,722,755,742,715
0.95,665,716,653,701,715,747,739,708
0.96,658,707,646,695,711,741,733,693
0.97,652,698,636,687,706,734,722,684
0.98,644,681,632,681,698,728,713,677
0.99,642,679,624,676,693,717,707,662
1.0,638,673,619,666,689,708,698,653
1.01,633,664,606,657,678,700,694,651
1.02,627,656,603,652,669,693,689,646
1.03,619,647,598,645,665,687,678,639
1.04,618,639,596,640,659,679,669,627
1.05,610,628,589,630,657,675,656,620
1.06,601,619,585,619,647,665,650,607
1.07,597,612,577,609,642,658,645,598
1.08,591,603,564,592,633,648,638,590
1.09,577,599,560,587,628,640,636,583
1.1,577,594,553,578,618,625,631,576
1.11,572,587,551,569,612,617,618,571
1.12,565,579,544,565,604,612,608,562
1.13,559,574,538,563,599,604,602,556
1.14,550,569,532,554,590,594,591,549
1.15,544,558,524,544,582,583,582,531
1.16,538,547,519,534,566,568,572,526
1.17,533,543,512,521,556,557,562,520
1.18,527,536,509,518,549,550,555,510
1.19,521,526,499,507,542,542,550,508
1.2,512,516,496,500,534,529,542,501
1.21,510,507,487,494,530,520,531,490
1.22,508,499,483,487,522,509,521,479
